Заданное расстояние: 20, длина шага: 2
0: (x, y) = (1.50942,1.31212)
1: (x, y) = (-0.584743,1.91261)
2: (x, y) = (-1.65808,-1.11839)
3: (x, y) = (-1.53209,-1.28558)
4: (x, y) = (0.0349048,1.9997)
5: (x, y) = (-0.876742,-1.79759)
6: (x, y) = (1.48629,-1.33826)
7: (x, y) = (-1.90211,-0.618034)
8: (x, y) = (1.57602,-1.23132)
9: (x, y) = (1.92252,-0.551275)
10: (x, y) = (1.14715,-1.6383)
11: (x, y) = (0.845237,1.81262)
12: (x, y) = (-0.969619,-1.74924)
13: (x, y) = (-0.104672,-1.99726)
14: (x, y) = (-0.969619,-1.74924)
15: (x, y) = (-1.31212,1.50942)
16: (x, y) = (-0.845237,1.81262)
17: (x, y) = (0.938943,1.7659)
18: (x, y) = (-1.67734,1.08928)
19: (x, y) = (1.61803,1.17557)
20: (x, y) = (1.97538,-0.312869)
21: (x, y) = (-1.82709,-0.813473)
22: (x, y) = (1.05984,-1.6961)
23: (x, y) = (-1.78201,0.907981)
24: (x, y) = (0.749213,-1.85437)
25: (x, y) = (-1.57602,1.23132)
26: (x, y) = (-1.55429,1.25864)
27: (x, y) = (1.99513,-0.139513)
28: (x, y) = (0.278346,-1.98054)
29: (x, y) = (-0.174311,1.99239)
30: (x, y) = (1.364,1.46271)
31: (x, y) = (-1.17557,1.61803)
32: (x, y) = (1.96325,0.381618)
33: (x, y) = (1.90211,0.618034)
34: (x, y) = (0.716736,1.86716)
35: (x, y) = (-0.749213,1.85437)
36: (x, y) = (-0.584743,1.91261)
37: (x, y) = (1.89104,0.651136)
38: (x, y) = (-0.845237,1.81262)
39: (x, y) = (-1.98904,0.209057)
40: (x, y) = (-0.243739,-1.98509)
41: (x, y) = (1.25864,1.55429)
42: (x, y) = (1.99878,0.069799)
43: (x, y) = (-0.104672,1.99726)
44: (x, y) = (1.67734,1.08928)
45: (x, y) = (1.92252,-0.551275)
46: (x, y) = (1.86716,0.716736)
47: (x, y) = (-1.74924,0.969619)
48: (x, y) = (-1.98509,0.243739)
49: (x, y) = (1.7659,0.938943)
50: (x, y) = (1.94874,-0.449902)
51: (x, y) = (0.483844,-1.94059)
52: (x, y) = (-0.278346,-1.98054)
53: (x, y) = (1.99726,-0.104672)
54: (x, y) = (-1.08928,-1.67734)
55: (x, y) = (-0.381618,-1.96325)
56: (x, y) = (0.243739,1.98509)
57: (x, y) = (1.86716,0.716736)
58: (x, y) = (-1.96325,0.381618)
59: (x, y) = (1.05984,1.6961)
60: (x, y) = (0.483844,1.94059)
61: (x, y) = (-1.81262,0.845237)
62: (x, y) = (-1.28558,-1.53209)
63: (x, y) = (1.48629,1.33826)
64: (x, y) = (0.618034,-1.90211)
65: (x, y) = (-1.38932,-1.43868)
66: (x, y) = (1.53209,1.28558)
67: (x, y) = (1.05984,-1.6961)
68: (x, y) = (-1.99513,-0.139513)
69: (x, y) = (1.6961,-1.05984)
70: (x, y) = (0.139513,1.99513)
71: (x, y) = (1.41421,1.41421)
72: (x, y) = (1.28558,1.53209)
После 73 шагов объект имеет следующее положение: (x,y) = (13.8122, 14.5855)
или (m,a) = (20.0876, 46.5598)
Среднее расстояние на один метр = 0.275173
